 Position_of_the_Songs_the_Chart_that_Day,Position_Change_that_Day, How_Many_Days_at_Position,Highest_Position_Reached,How_Many_Times_at_Position,Points_Total,Extra_Points_that_Day,Artist,Title
1,1,8,1,(x2),13458,1229,*NSYNC , Bye Bye Bye
2,-1,77,1,(x3),12889,-780,Billie Eilish , BIRDS OF A FEATHER
3,=,112,1,(x3),11736,-168,Shaboozey , A Bar Song
4,1,196,1,(x35),11280,1300,Benson Boone , Beautiful Things
5,-1,1437,1,(x2),10549,-664,Disturbed , The Sound of Silence
6,1,389,1,(x6),10314,591,Teddy Swims , Lose Control
7,1,14,1,(x9),9661,225,Jimin , Who
8,1,42,1,(x1),9478,173,Coldplay , feelslikeimfallinginlove
9,-3,133,1,(x1),9466,-504,Hozier , Too Sweet
10,=,84,9,0,9234,-44,Myles Smith , Stargazing
11,=,259,5,0,8719,-491,Cyril , Stumblin' In
12,1,63,1,(x21),8504,239,Eminem , Houdini
13,-1,112,1,(x1),8350,-755,Sabrina Carpenter , Espresso
14,2,119,3,(x1),7606,1107,David Guetta & OneRepublic , I Don't Wanna Wait
15,-1,90,14,0,7395,-524,Chappell Roan ," Good Luck, Babe"
16,1,195,13,0,6880,440,Teddy Swims , The Door
17,1,150,10,0,6160,94,Dasha , Austin
18,-3,7,11,0,6130,-383,mgk & Jelly Roll , Lonely Road
19,5,134,11,0,5586,411,Mark Ambor , Belong Together
20,5,119,7,0,5560,581,"Jaxomy, Agatino Romero & Raffaella CarrÃ  ", Pedro
21,=,13,21,0,5325,-258,Madonna , Like a Prayer
22,=,42,22,0,5236,-255,KAROL G , Si Antes Te Hubiera Conocido
23,11,36,23,0,5167,1432,"Sevdaliza, Pabllo Vittar & Yseult ", Alibi
24,2,48,24,0,5150,323,"Adam Port, Stryv, Keinemusik, Orso & Malachiii ", Move
25,-5,89,5,0,5046,-628,Kendrick Lamar , Not Like Us
26,-3,85,5,0,4884,-351,Post Malone , I Had Some Help
27,-8,56,9,0,4711,-1076,Sabrina Carpenter , Please Please Please
28,2,14,2,(x4),4700,350,Stray Kids , Chk Chk Boom
29,=,1785,2,(x18),4581,10,Lady Gaga , Always Remember Us This Way
30,2,448,1,(x6),4467,511,Taylor Swift , Cruel Summer
31,6,129,3,(x1),4162,841,Artemas , i like the way you kiss me
32,1,2296,1,(x10),3936,7,Coldplay , A Sky Full of Stars
33,-5,7,15,0,3823,-918,Post Malone , Guy For That
34,-3,78,25,0,3783,-208,Luke Combs , Ain't No Love In Oklahoma
35,95,2,35,0,3468,2172,JhenÃ© Aiko , Bed Peace
36,-9,4,27,0,3427,-1385,Brandon Lake , That's Who I Praise
37,-1,105,1,(x6),3395,-65,Taylor Swift , Fortnight
38,NEW,1,38,0,3378,3378,Madonna , Cherish
39,1,42,29,0,3276,89,Ella Langley & Riley Green , you look like you love me
40,NEW,1,40,0,3222,3222,Red Velvet , Sweet Dreams
41,-2,91,19,0,3221,-18,Marshmello & Kane Brown , Miles on It
42,2,42,10,0,3183,202,Post Malone , Pour Me A Drink
43,-2,172,1,(x32),3130,-14,BeyoncÃ© , TEXAS HOLD 'EM
44,-2,51,21,0,3122,-10,Jelly Roll , I Am Not Okay
45,-7,7,38,0,3068,-188,Hanumankind & Kalmi , Big Dawgs
46,NEW,43,31,0,3055,2357,Taylor Swift , august
47,1,50,28,0,2992,328,Christine and the Queens , Full of life
48,-1,567,1,(x119),2922,236,Miley Cyrus , Flowers
49,6,936,1,(x47),2802,594,Taylor Swift , Shake It Off
50,-15,14,20,0,2779,-819,"HUGEL, Topic & Arash ", I Adore You
51,1,239,18,0,2694,175,ZERB & Sofiya Nzau , Mwaki
52,-7,97,13,0,2647,-207,Tommy Richman , MILLION DOLLAR BABY
53,3,132,17,0,2586,380,Benson Boone , Slow It Down
54,-8,20,20,0,2483,-260,Eminem & Jelly Roll , Somebody Save Me
55,-6,12,49,0,2393,-240,Charli xcx , Apple
56,-3,7,42,0,2313,-174,Shirin David , Bauch Beine Po
57,9,11,50,0,2226,171,Megan Thee Stallion , Mamushi
58,-15,2708,1,(x62),2158,-841,Ed Sheeran , Perfect
59,-5,2308,1,(x95),2053,-428,Wiz Khalifa , See You Again
60,36,1481,3,(x7),2052,462,Sia , Unstoppable
